ID	ListID	Hearing
1	List1	28
4	List1	30
7	List1	36
10	List1	32
13	List1	32
16	List1	48
19	List1	40
22	List1	26
1	List2	20
4	List2	20
7	List2	30
10	List2	36
13	List2	28
16	List2	28
19	List2	34
22	List2	30
1	List3	24
4	List3	14
7	List3	20
10	List3	38
13	List3	36
16	List3	14
19	List3	38
22	List3	18
1	List4	26
4	List4	18
7	List4	22
10	List4	16
13	List4	32
16	List4	18
19	List4	40
22	List4	14
2	List1	24
5	List1	34
8	List1	32
11	List1	32
14	List1	40
17	List1	34
20	List1	18
23	List1	36
2	List2	16
5	List2	34
8	List2	28
11	List2	32
14	List2	38
17	List2	34
20	List2	22
23	List2	20
2	List3	32
5	List3	32
8	List3	26
11	List3	30
14	List3	32
17	List3	26
20	List3	20
23	List3	22
2	List4	24
5	List4	24
8	List4	28
11	List4	18
14	List4	34
17	List4	20
20	List4	26
23	List4	30
3	List1	32
6	List1	30
9	List1	48
12	List1	38
15	List1	28
18	List1	28
21	List1	20
24	List1	40
3	List2	38
6	List2	30
9	List2	42
12	List2	36
15	List2	36
18	List2	16
21	List2	20
24	List2	44
3	List3	20
6	List3	22
9	List3	26
12	List3	16
15	List3	38
18	List3	14
21	List3	14
24	List3	34
3	List4	22
6	List4	30
9	List4	30
12	List4	34
15	List4	32
18	List4	20
21	List4	14
24	List4	42

